epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1332.67,0.53053,0.27845,0.80792,0.92907,0.95063,0.95459,0.75551,0.56203,0.27686,0.80441,0.000212129,0.000212129,0.000212129
73,1350.29,0.53573,0.27741,0.80841,0.94461,0.94821,0.9569,0.76464,0.55342,0.27598,0.80299,0.000205061,0.000205061,0.000205061
74,1367.93,0.52817,0.27786,0.80813,0.9387,0.95511,0.96432,0.75833,0.55768,0.27999,0.8051,0.000197992,0.000197992,0.000197992
75,1385.16,0.52269,0.27454,0.80748,0.94925,0.96028,0.97006,0.77228,0.54538,0.27175,0.80438,0.000190924,0.000190924,0.000190924
76,1402.81,0.52014,0.27154,0.80615,0.94634,0.9458,0.96334,0.77092,0.51074,0.26326,0.80154,0.000183855,0.000183855,0.000183855
77,1419.71,0.51517,0.27261,0.80469,0.93452,0.96391,0.9653,0.76124,0.53505,0.26912,0.80272,0.000176786,0.000176786,0.000176786
78,1438.1,0.51679,0.27048,0.80603,0.94533,0.95656,0.96662,0.77321,0.53825,0.26612,0.80318,0.000169718,0.000169718,0.000169718
79,1455.55,0.50794,0.27128,0.80541,0.9504,0.94593,0.96409,0.77495,0.52516,0.26254,0.80161,0.000162649,0.000162649,0.000162649
80,1472.94,0.50455,0.26877,0.80347,0.94844,0.9587,0.96479,0.76686,0.53049,0.26443,0.80361,0.000155581,0.000155581,0.000155581
81,1490.03,0.50344,0.26459,0.80267,0.9533,0.9461,0.96707,0.77574,0.53862,0.26634,0.80477,0.000148512,0.000148512,0.000148512
82,1507.48,0.50966,0.26864,0.806,0.93309,0.9548,0.96179,0.77696,0.52157,0.26723,0.80254,0.000141443,0.000141443,0.000141443
83,1524.97,0.50359,0.26635,0.80365,0.93976,0.95001,0.96383,0.78089,0.52376,0.26453,0.80364,0.000134375,0.000134375,0.000134375
84,1542,0.50332,0.26426,0.80689,0.93589,0.95336,0.96615,0.77655,0.53521,0.26374,0.80462,0.000127306,0.000127306,0.000127306
